"","acao","desp_paga","dot_atu","PLOA","Custeio","Dívida","Investimento","Pessoal","Direta","Transferencia","Fontes de Emissão","Fontes próprias","Fontes Tesouro","orgao_valor_1","orgao_valor_2","orgao_valor_3","orgao_valor_4","orgao_valor_5","orgao_valor_6","tituloacao","gnd_predominante","textoacao","2021","2020","2019","2018","2017","2016"
"22","006C",0,97300000,7.5e+07,0,0,1,0,1,0,0,0,1,"74000 - Operações Oficiais de Crédito__7.5e+07",NA,NA,NA,NA,NA,"Financiamento ao Setor Audiovisual - Fundo Setorial do Audiovisual - (Lei nº 11.437, de 2006)","Investimento","FINANCIAMENTO AO SETOR AUDIOVISUAL - FUNDO SETORIAL DO AUDIOVISUAL - (LEI N. 11.437, DE 2006)",7.5e+07,97300000,5e+07,1e+08,2e+08,2e+08
"23","006M",1195766859.59,1495871070,1531678617,1,0,0,0,0,1,0,0,1,"73000 - Transferências a Estados, Distrito Federal e Municípios__1531678617",NA,NA,NA,NA,NA,"Transferência do Imposto Territorial Rural","Custeio","TRANSFERENCIA DO IMPOSTO TERRITORIAL RURAL",1531678617,1403065901,1091119447,1051362381,1063084883,861272765
"24","0070",5522261.22,26197983,8880000,1,0,0,0,0,1,0.887387387387387,0,0.112612612612613,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__7880000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição ao Instituto Interamericano de Cooperação para a Agricultura - IICA (MAPA)","Custeio","CONTRIBUICAO AO INSTITUTO INTERAMERICANO DE COOPERACAO PARA A AGRICULTURA - IICA (MAPA)",8880000,1000001,8580627,16396333,14132701,7191930
"25","0073",0,1218730,1254000,1,0,0,0,0,1,0.5,0,0.5,"71000 - Encargos Financeiros da União__627000","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__627000",NA,NA,NA,NA,"Contribuição à Organização Mundial de Saúde Animal - OIE (MAPA)","Custeio","CONTRIBUICAO A ORGANIZACAO MUNDIAL DE SAUDE ANIMAL - OIE (MAPA)",1254000,1000001,565330,1147748,2055599,458561
"26","0074",0,938730,8880000,1,0,0,0,0,1,0.887387387387387,0,0.112612612612613,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__7880000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à Organização das Nações Unidas para a Alimentação e Agricultura - FAO (MRE)","Custeio","CONTRIBUICAO A ORGANIZACAO DAS NACOES UNIDAS PARA A ALIMENTACAO E AGRICULTURA - FAO (MRE)",8880000,1000001,44107249,77920845,55416917,36349823
"27","0080",0,4367865,1300000,1,0,0,0,1,0,0,0,1,"22000 - Ministério da Agricultura, Pecuária e Abastecimento__1300000",NA,NA,NA,NA,NA,"Subvenção Econômica ao Preço do Óleo Diesel de Embarcações Pesqueiras (Lei nº 9.445, de 1997)","Custeio","SUBVENCAO ECONOMICA AO PRECO DO OLEO DIESEL DE EMBARCACOES PESQUEIRAS (LEI N. 9.445, DE 1997)",1300000,4500021,4500022,11653867,11653867,14670880
"28","0083",0,96070,1e+05,1,0,0,0,1,0,0.57291,0,0.42709,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__57291","81000 - Ministério da Mulher, da Família e dos Direitos Humanos__42709",NA,NA,NA,NA,"Indenização a Familiares de Mortos e Desaparecidos em Razão da Participação em Atividades Políticas (Lei nº 9.140, de 1995)","Custeio","INDENIZACAO A FAMILIARES DE MORTOS E DESAPARECIDOS EM RAZAO DA PARTICIPACAO EM ATIVIDADES POLITICAS (LEI N. 9.140, DE 1995)",1e+05,1e+05,90000,150000,340000,3e+05
"29","0087",544692,2838730,2697000,1,0,0,0,0,1,0.629217649239896,0,0.370782350760104,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1697000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à União Postal Universal - UPU (MC)","Custeio","CONTRIBUICAO A UNIAO POSTAL UNIVERSAL - UPU (MC)",2697000,1000001,1033513,1351959,2387926,1751303
"30","0089",8366986.73,8366987,5303000,1,0,0,0,0,1,0.811427493871394,0,0.188572506128606,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__4303000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à União Internacional de Telecomunicações - UIT (ANATEL)","Custeio","CONTRIBUICAO A UNIAO INTERNACIONAL DE TELECOMUNICACOES - UIT (ANATEL)",5303000,1000001,2265248,3087788,3635913,2666576
"31","008A",4582461,4582461,3200000,1,0,0,0,0,1,0.6054890625,0,0.3945109375,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1937565","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__1262435",NA,NA,NA,NA,"Contribuição à Academia Brasileira de Ciências - ABC","Custeio","CONTRIBUICAO A ACADEMIA BRASILEIRA DE CIENCIAS - ABC",3200000,4e+06,4e+06,2494742,4300000,5600000
"32","0095",0,5e+06,5e+06,1,0,0,0,1,0,0,1,0,"39000 - Ministério da Infraestrutura__5e+06",NA,NA,NA,NA,NA,"Ressarcimento às Empresas Brasileiras de Navegação","Custeio","RESSARCIMENTO AS EMPRESAS BRASILEIRAS DE NAVEGACAO",5e+06,5e+06,5e+06,5e+06,2.2e+08,2.2e+08
"33","009B",0,394038,2e+06,1,0,0,0,0,1,0.5,0,0.5,"71000 - Encargos Financeiros da União__1e+06","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1e+06",NA,NA,NA,NA,"Contribuição ao Fundo para a Convergência Estrutural do Mercosul - FOCEM (MRE)","Custeio","CONTRIBUICAO AO FUNDO PARA A CONVERGENCIA ESTRUTURAL DO MERCOSUL - FOCEM (MRE)",2e+06,1000001,62621310,155845736,1e+05,1000026
"34","009J",195710.63,1200000,250000,1,0,0,0,1,0,1,0,0,"74000 - Operações Oficiais de Crédito__250000",NA,NA,NA,NA,NA,"Subvenção Econômica nos Financiamentos destinados à Reestruturação Produtiva e às Exportações (Lei nº 11.529, de 2007)","Custeio","SUBVENCAO ECONOMICA NOS FINANCIAMENTOS DESTINADOS A REESTRUTURACAO PRODUTIVA E AS EXPORTACOES (LEI N. 11.529, DE 2007)",250000,1200000,6097000,10974000,27788000,5541000
"35","009T",4057808174.29,4145197493,4.095e+09,0.0559218559218559,0,0,0.944078144078144,1,0,0,0,1,"73000 - Transferências a Estados, Distrito Federal e Municípios__4.095e+09",NA,NA,NA,NA,NA,"Serviços Públicos de Saúde do Distrito Federal","Pessoal","SERVICOS PUBLICOS DE SAUDE DO DISTRITO FEDERAL",4.095e+09,4145197493,2977427968,3326876264,2817447690,NA
"36","009W",2901082493.17,3930217340,4197550392,1,0,0,0,0,1,0,0,1,"25000 - Ministério da Economia__4197550392",NA,NA,NA,NA,NA,"Compensação Previdenciária","Custeio","COMPENSACAO PREVIDENCIARIA",4197550392,3930217340,3669760264,3417129534,2771448708,2540282959
"37","00AF",1684071395.94,1684071396,1823430353,0,0,1,0,1,0,0,0,1,"53000 - Ministério do Desenvolvimento Regional__1823430353",NA,NA,NA,NA,NA,"Integralização de Cotas ao Fundo de Arrendamento Residencial - FAR","Investimento","INTEGRALIZACAO DE COTAS AO FUNDO DE ARRENDAMENTO RESIDENCIAL - FAR",1823430353,1525900976,2972464239,3197061224,4929502576,1.126e+10
"38","00AT",418003.17,938730,1240000,1,0,0,0,0,1,0.5,0,0.5,"71000 - Encargos Financeiros da União__620000","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__620000",NA,NA,NA,NA,"Contribuição ao Protocolo de Kioto (MCTI)","Custeio","CONTRIBUICAO AO PROTOCOLO DE KIOTO (MCTI)",1240000,1000001,1045445,1124876,2472482,786174
"39","00B7",0,58536587,4e+07,1,0,0,0,0,1,0.975,0,0.025,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__3.9e+07","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à Organização dos Estados Americanos - OEA (MRE)","Custeio","CONTRIBUICAO A ORGANIZACAO DOS ESTADOS AMERICANOS - OEA (MRE)",4e+07,1000001,1e+06,43138597,38379089,27060604
"40","00BA",0,16296846,8880000,1,0,0,0,0,1,0.887387387387387,0,0.112612612612613,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__7880000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à Organização das Nações Unidas para a Educação, a Ciência e a Cultura - UNESCO (MRE)","Custeio","CONTRIBUICAO A ORGANIZACAO DAS NACOES UNIDAS PARA A EDUCACAO, A CIENCIA E A CULTURA - UNESCO (MRE)",8880000,1000001,29566658,57029365,45635004,24681453
"41","00BC",2667090,9667090,8880000,1,0,0,0,0,1,0.887387387387387,0,0.112612612612613,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__7880000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à Agência Brasileiro-Argentina de Contabilidade e Controle de Materiais Nucleares - ABACC (MRE)","Custeio","CONTRIBUICAO A AGENCIA BRASILEIRO-ARGENTINA DE CONTABILIDADE E CONTROLE DE MATERIAIS NUCLEARES - ABACC (MRE)",8880000,1000001,6066118,24197146,9698000,1e+06
"42","00BG",0,8533654,8880000,1,0,0,0,0,1,0.887387387387387,0,0.112612612612613,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__7880000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição à Comissão Preparatória da Organização do Tratado de Proibição Completa de Testes Nucleares - CTBTO (MRE)","Custeio","CONTRIBUICAO A COMISSAO PREPARATORIA DA ORGANIZACAO DO TRATADO DE PROIBICAO COMPLETA DE TESTES NUCLEARES - CTBTO (MRE)",8880000,1000001,11758935,40927383,13520639,1e+06
"43","00BU",938730,2738730,3121000,1,0,0,0,0,1,0.679589875040051,0,0.320410124959949,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__2121000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição ao Tribunal Internacional do Direito do Mar - TIDM (MRE)","Custeio","CONTRIBUICAO AO TRIBUNAL INTERNACIONAL DO DIREITO DO MAR - TIDM (MRE)",3121000,1000001,1481038,3188721,1464699,1079881
"44","00CB",906987.12,1271938,1600000,1,0,0,0,1,0,0.6105,0,0.3895,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__976800","35000 - Ministério das Relações Exteriores__623200",NA,NA,NA,NA,"Concessão de Bolsas de Estudo a Alunos Estrangeiros, no Sistema Educacional Brasileiro","Custeio","CONCESSAO DE BOLSAS DE ESTUDO A ALUNOS ESTRANGEIROS, NO SISTEMA EDUCACIONAL BRASILEIRO",1600000,1643519,1643520,1e+06,1770000,2e+06
"45","00CC",0,563238,6e+05,1,0,0,0,1,0,0.6105,0,0.3895,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__366300","35000 - Ministério das Relações Exteriores__233700",NA,NA,NA,NA,"Concessão de Bolsas de Estudo a Candidatos Afrodescendentes à Carreira Diplomática","Custeio","CONCESSAO DE BOLSAS DE ESTUDO A CANDIDATOS AFRODESCENDENTES A CARREIRA DIPLOMATICA",6e+05,6e+05,690000,883000,820000,919656
"46","00CX",146598385.6,146598386,107607297,1,0,0,0,1,0,0.820506642779067,0,0.179493357220933,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__88292502","53000 - Ministério do Desenvolvimento Regional__19314795",NA,NA,NA,NA,"Subvenção Econômica Destinada a Implementação de Projetos de Interesse Social em Áreas Rurais (Lei nº 11.977, de 2009)","Custeio","SUBVENCAO ECONOMICA DESTINADA A IMPLEMENTACAO DE PROJETOS DE INTERESSE SOCIAL EM AREAS RURAIS (LEI N. 11.977, DE 2009)",107607297,331849024,404930796,294413808,905204574,1.28e+09
"47","00CY",449507638.63,449507639,354483595,1,0,0,0,1,0,0.820506641499164,0,0.179493358500836,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__290856144","53000 - Ministério do Desenvolvimento Regional__63627451",NA,NA,NA,NA,"Transferências ao Fundo de Desenvolvimento Social – FDS (Lei nº 11.977, de 2009)","Custeio","TRANSFERENCIAS AO FUNDO DE DESENVOLVIMENTO SOCIAL - FDS (LEI N. 11.977, DE 2009)",354483595,4e+08,298304965,6e+08,479292850,9.7e+08
"48","00DN",0,938730,280000,1,0,0,0,0,1,0.5,0,0.5,"71000 - Encargos Financeiros da União__140000","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__140000",NA,NA,NA,NA,"Contribuição Voluntária ao Centro-Sul - CS (MRE)","Custeio","CONTRIBUICAO VOLUNTARIA AO CENTRO-SUL - CS (MRE)",280000,1000001,129226,544500,205150,144649
"49","00E8",0,938730,2e+06,1,0,0,0,0,1,0.5,0,0.5,"71000 - Encargos Financeiros da União__1e+06","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1e+06",NA,NA,NA,NA,"Contribuição à Organização Internacional para as Migrações - OIM (MJSP)","Custeio","CONTRIBUICAO A ORGANIZACAO INTERNACIONAL PARA AS MIGRACOES - OIM (MJSP)",2e+06,1000001,4957984,11202495,5549242,1e+06
"50","00F4",874017.63,2051454,1076000,1,0,0,0,0,1,0.5,0,0.5,"71000 - Encargos Financeiros da União__538000","93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__538000",NA,NA,NA,NA,"Contribuição ao Protocolo de Montreal sobre Substâncias que Destroem a Camada de Ozônio - Protocolo de Montreal (MRE)","Custeio","CONTRIBUICAO AO PROTOCOLO DE MONTREAL SOBRE SUBSTANCIAS QUE DESTROEM A CAMADA DE OZONIO - PROTOCOLO DE MONTREAL (MRE)",1076000,1000001,514920,3609791,3262709,328936
"51","00F7",2040642,2180265,280000,1,0,0,0,0,1,0.605489285714286,0,0.394510714285714,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__169537","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__110463",NA,NA,NA,NA,"Contribuição à Associação Brasileira das Instituições de Pesquisa Tecnológica - ABIPTI","Custeio","CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS INSTITUICOES DE PESQUISA TECNOLOGICA - ABIPTI",280000,350000,350000,320701,540000,643893
"52","00F8",5906428,6225961,3200000,1,0,0,0,0,1,0.6054890625,0,0.3945109375,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__1937565","24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações__1262435",NA,NA,NA,NA,"Contribuição à Sociedade Brasileira para o Progresso da Ciência - SBPC","Custeio","CONTRIBUICAO A SOCIEDADE BRASILEIRA PARA O PROGRESSO DA CIENCIA - SBPC",3200000,4e+06,4e+06,1959840,4050000,4750000
"53","00FM",279979948.87,404617712,383751450,0.955700493118658,0,0.0442995068813421,0,1,0,0,0,1,"73000 - Transferências a Estados, Distrito Federal e Municípios__383751450",NA,NA,NA,NA,NA,"Assistência Médica e Odontológica às Polícias Civil e Militar e ao Corpo de Bombeiros do Distrito Federal","Custeio","ASSISTENCIA MEDICA E ODONTOLOGICA AS POLICIAS CIVIL E MILITAR E AO CORPO DE BOMBEIROS DO DISTRITO FEDERAL",383751450,4.09e+08,308006848,256855536,256855536,254560815
"54","00G5",261710433.28,511604336,798217305,0,0,0,1,1,0,0,0,1,"71000 - Encargos Financeiros da União__798217305",NA,NA,NA,NA,NA,"Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais decorrente do Pagamento de Precatórios e Requisições de Pequeno Valor","Pessoal","CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS DECORRENTE DO PAGAMENTO DE PRECATORIOS E REQUISICOES DE PEQUENO VALOR",798217305,776604336,711159851,607889980,268938966,560128348
"55","00GT",0,7198730,5302000,1,0,0,0,0,1,0.8113919275745,0,0.1886080724255,"93000 - Programações Condicionadas à Aprovação Legislativa prevista no inciso III do art. 167 da Constituição__4302000","71000 - Encargos Financeiros da União__1e+06",NA,NA,NA,NA,"Contribuição ao Parlamento do Mercosul - PARLASUL (MRE)","Custeio","CONTRIBUICAO AO PARLAMENTO DO MERCOSUL - PARLASUL (MRE)",5302000,1000001,3053838,6217590,3704796,2000001
"56","00GW",24999958.41,5e+07,5e+07,1,0,0,0,1,0,1,0,0,"74000 - Operações Oficiais de Crédito__5e+07",NA,NA,NA,NA,NA,"Subvenção Econômica para Garantia e Sustentação de Preços na Comercialização de Produtos da Agricultura Familiar (Lei nº 8.427, de 1992)","Custeio","SUBVENCAO ECONOMICA PARA GARANTIA E SUSTENTACAO DE PRECOS NA COMERCIALIZACAO DE PRODUTOS DA AGRICULTURA FAMILIAR (LEI N. 8.427, DE 1992)",5e+07,5e+07,5e+07,1e+08,157800000,1.62e+08
